method,ATE,utility
Equal width_3,0.5153934895816181,0.9999999999999898
Equal width_4,0.5153934895816181,0.9999999999999898
Equal width_5,0.5153934895816181,0.9999999999999898
Equal width_6,0.5153934895816181,0.9999999999999898
Equal width_7,0.5153934895816181,0.9999999999999898
Equal width_8,0.5153934895816181,0.9999999999999898
Equal width_9,0.5153934895816181,0.9999999999999898
Equal width_10,0.5153934895816181,0.9999999999999898
Equal frequency_3,0.5153934895816181,0.9999999999999898
Equal frequency_4,0.5153934895816181,0.9999999999999898
Equal frequency_5,0.5153934895816181,0.9999999999999898
Equal frequency_6,0.5153934895816181,0.9999999999999898
Equal frequency_7,0.5153934895816181,0.9999999999999898
Equal frequency_8,0.5153934895816181,0.9999999999999898
Equal frequency_9,0.5153934895816181,0.9999999999999898
Equal frequency_10,0.5153934895816181,0.9999999999999898
KBinsDiscretizer_3,0.5153934895816181,0.9999999999999898
KBinsDiscretizer_4,0.5153934895816181,0.9999999999999898
KBinsDiscretizer_5,0.5153934895816181,0.9999999999999898
KBinsDiscretizer_6,0.5153934895816181,0.9999999999999898
KBinsDiscretizer_7,0.5153934895816181,0.9999999999999898
KBinsDiscretizer_8,0.5153934895816181,0.9999999999999898
KBinsDiscretizer_9,0.5153934895816181,0.9999999999999898
KBinsDiscretizer_10,0.5153934895816181,0.9999999999999898
KBinsDiscretizer (quantile)_3,0.5153934895816181,0.9999999999999898
KBinsDiscretizer (quantile)_4,0.5153934895816181,0.9999999999999898
KBinsDiscretizer (quantile)_5,0.5153934895816181,0.9999999999999898
KBinsDiscretizer (quantile)_6,0.5153934895816181,0.9999999999999898
KBinsDiscretizer (quantile)_7,0.5153934895816181,0.9999999999999898
KBinsDiscretizer (quantile)_8,0.5153934895816181,0.9999999999999898
KBinsDiscretizer (quantile)_9,0.5153934895816181,0.9999999999999898
KBinsDiscretizer (quantile)_10,0.5153934895816181,0.9999999999999898
KMeansDiscretizer_3,0.5153934895816181,0.9999999999999898
KMeansDiscretizer_4,0.5153934895816181,0.9999999999999898
KMeansDiscretizer_5,0.5153934895816181,0.9999999999999898
KMeansDiscretizer_6,0.5153934895816181,0.9999999999999898
KMeansDiscretizer_7,0.5153934895816181,0.9999999999999898
KMeansDiscretizer_8,0.5153934895816181,0.9999999999999898
KMeansDiscretizer_9,0.5153934895816181,0.9999999999999898
KMeansDiscretizer_10,0.5153934895816181,0.9999999999999898
BayesianBlocksDiscretizer_3,0.5153934895816181,0.9999999999999898
