Age_ID,Fare_ID,SibSp_ID,Age_bins,Fare_bins,SibSp_bins,utility,l2_norm,KLDiv,gpt_semantics,Estimated,Explored
10,0,1,[  0.    33.33  66.67 100.  ],[  0.  10.  20.  30.  40.  50. 100. 600.],[ 0.  5. 10.],0.284313725490196,0.6342331059620651,0.7859456440827873,3.0,1,1
10,57,1,[  0.    33.33  66.67 100.  ],[  0.     7.78   8.05  11.24  15.74  26.    33.38  73.5  513.  ],[ 0.  5. 10.],0.3384687208216619,0.4825045427365012,0.7275610786262869,2.0,1,1
19,0,0,[  0.  25.  50.  75. 100.],[  0.  10.  20.  30.  40.  50. 100. 600.],[0. 1. 2. 3. 4. 5. 6. 7. 8.],0.1027077497665733,0.8702709261924535,0.9412108918589942,4.0,1,1
19,0,1,[  0.  25.  50.  75. 100.],[  0.  10.  20.  30.  40.  50. 100. 600.],[ 0.  5. 10.],0.2591036414565826,0.6624114185607554,0.8334435206485787,3.6666666666666665,1,1
19,57,1,[  0.  25.  50.  75. 100.],[  0.     7.78   8.05  11.24  15.74  26.    33.38  73.5  513.  ],[ 0.  5. 10.],0.315126050420168,0.5106828553351913,0.7750589551920785,2.6666666666666665,1,1
