Current Loan Amount_ID,Credit Score_ID,Annual Income_ID,Years of Credit History_ID,Current Loan Amount_bins,Credit Score_bins,Annual Income_bins,Years of Credit History_bins,utility,l2_norm,KLDiv,gpt_semantics,Estimated,Explored
0,0,0,0,[0.e+00 1.e+05 5.e+05 1.e+06 1.e+08],[   0.  600.  650.  700.  750.  850. 8000.],[0.0e+00 2.5e+05 1.0e+06 5.0e+06 2.0e+08],[ 0.  5. 10. 20. 35. 80.],0.8269373240480071,1.0,1.0,4.0,1,1
16,0,0,0,[       0.   136455.   207955.   227249. 99999999.],[   0.  600.  650.  700.  750.  850. 8000.],[0.0e+00 2.5e+05 1.0e+06 5.0e+06 2.0e+08],[ 0.  5. 10. 20. 35. 80.],0.8270114090976441,0.9992584642425316,0.9730633927521608,3.25,1,1
16,0,19,0,[       0.   136455.   207955.   227249. 99999999.],[   0.  600.  650.  700.  750.  850. 8000.],"[0.00000000e+00 8.61640500e+05 1.19870050e+06 1.67477400e+06
 1.65557393e+08]",[ 0.  5. 10. 20. 35. 80.],0.827085494147281,0.9837357298668878,0.92074216125471,2.5,1,1
