passenger_count_ID,trip_distance_ID,duration_ID,passenger_count_bins,trip_distance_bins,duration_bins,utility,l2_norm,KLDiv,gpt_semantics,Estimated,Explored
0,0,0,[0. 1. 2. 6.],[ 0.   0.5  1.5  3.   5.  10. ],[ 0.  3.  8. 15. 25. 30.],0.2738808840043119,1.0,1.0,4.0,1,1
0,0,1,[0. 1. 2. 6.],[ 0.   0.5  1.5  3.   5.  10. ],[ 0. 15. 30.],0.2750364745849352,0.920219172246858,0.9429026457993964,3.333333333333333,1,1
36,0,0,[0.   0.86 1.71 2.57 3.43 4.29 5.14 6.  ],[ 0.   0.5  1.5  3.   5.  10. ],[ 0.  3.  8. 15. 25. 30.],0.6055475684201682,0.723709075391743,0.8813922682289448,3.0,1,1
36,0,1,[0.   0.86 1.71 2.57 3.43 4.29 5.14 6.  ],[ 0.   0.5  1.5  3.   5.  10. ],[ 0. 15. 30.],0.6067031590007916,0.6439282476386011,0.8242949140283411,2.333333333333333,1,1
36,31,0,[0.   0.86 1.71 2.57 3.43 4.29 5.14 6.  ],[0.   0.76 1.45 2.19 3.11 6.  ],[ 0.  3.  8. 15. 25. 30.],0.6159558116171996,0.6840074391055571,0.8283745021261696,2.0,1,1
36,31,1,[0.   0.86 1.71 2.57 3.43 4.29 5.14 6.  ],[0.   0.76 1.45 2.19 3.11 6.  ],[ 0. 15. 30.],0.617111402197823,0.6042266113524152,0.7712771479255659,1.3333333333333333,1,1
