tempo_ID,tempo_bins,utility,raw_utility,l2_norm,KLDiv,gpt_semantics,Estimated,Explored
0,[  0.  60.  90. 120. 150. 250.],0.6,0.6,1.0,1.0,4.0,1,1
21,[  0.    98.37 120.01 139.93 242.32],1.0,-1.0,0.8816350612058566,0.996231879569995,1.0,1,1
