Current Loan Amount_ID,Credit Score_ID,Annual Income_ID,Years of Credit History_ID,Current Loan Amount_bins,Credit Score_bins,Annual Income_bins,Years of Credit History_bins,utility,l2_norm,KLDiv,gpt_semantics,Estimated,Explored
0,0,0,0,[0.e+00 1.e+05 5.e+05 1.e+06 1.e+08],[   0.  600.  650.  700.  750.  850. 8000.],[0.0e+00 2.5e+05 1.0e+06 5.0e+06 2.0e+08],[ 0.  5. 10. 20. 35. 80.],0.8269373240480071,1.0,1.0,4.0,1,1
3,9,0,0,[       0.   329208. 99999999.],[   0.   2666.67 5333.33 8000.  ],[0.0e+00 2.5e+05 1.0e+06 5.0e+06 2.0e+08],[ 0.  5. 10. 20. 35. 80.],0.827085494147281,0.7570691396893221,0.9403428200137848,2.75,1,1
17,0,0,0,[0.0e+00 2.5e+07 5.0e+07 7.5e+07 1.0e+08],[   0.  600.  650.  700.  750.  850. 8000.],[0.0e+00 2.5e+05 1.0e+06 5.0e+06 2.0e+08],[ 0.  5. 10. 20. 35. 80.],0.8270114090976441,0.9170975745316544,0.9574188111042709,3.5,1,1
