age_ID,educ_ID,age_bins,educ_bins,utility,l2_norm,KLDiv,gpt_semantics
18,39,[17.   18.7  24.49 30.73 55.  ],[ 3.    4.36  6.64  8.    9.   10.   11.   12.   16.  ],0.00227362296228635,0.43724864057670276,0.4365207182157169,1.0
18,40,[17.   18.7  24.49 30.73 55.  ],[ 3.    4.44  5.89  7.33  8.78 10.22 11.67 13.11 14.56 16.  ],9.394239807840307e-15,0.39107895539656357,0.4225693212780933,1.0
18,44,[17.   18.7  24.49 30.73 55.  ],[ 3.    4.36  6.64  8.    9.   10.   11.   12.   13.   16.  ],2.7422180363287996e-12,0.40855844267589836,0.43093070965677216,1.0
18,45,[17.   18.7  24.49 30.73 55.  ],[ 3.   4.3  5.6  6.9  8.2  9.5 10.8 12.1 13.4 14.7 16. ],6.601881524597155e-14,0.36943570938739945,0.41451354395980594,1.0
18,49,[17.   18.7  24.49 30.73 55.  ],[ 3.    3.83  5.5   7.    8.    9.   10.   11.   12.   13.   16.  ],2.7410701465306993e-12,0.3878742660950846,0.389362930732047,1.0
18,68,[17.   18.7  24.49 30.73 55.  ],[ 3.    8.    8.43  9.   10.   11.   12.   16.  ],0.001269621287679883,0.47077183633993613,0.5880935213789147,1.0
18,88,[17.   18.7  24.49 30.73 55.  ],[ 3.    7.67  8.    9.   10.   11.   12.   16.  ],2.58514248713288e-09,0.4696921787582031,0.4975157859533099,1.0
18,93,[17.   18.7  24.49 30.73 55.  ],[ 3.    7.    8.    9.   10.   10.68 11.   12.   16.  ],4.7725259318525594e-08,0.4467839382643777,0.4975157859533099,1.0
18,98,[17.   18.7  24.49 30.73 55.  ],[ 3.  7.  8.  9. 10. 11. 12. 16.],2.58514248713288e-09,0.46871068781999503,0.4975157859533099,1.0
18,100,[17.   18.7  24.49 30.73 55.  ],[ 3.   7.5  8.5 12.5 14.5 16. ],0.004718023609159067,0.5485936548043805,0.5715012537905108,1.0
19,0,[17.  24.6 32.2 39.8 47.4 55. ],[ 0. 11. 12. 15. 16.],5.766995834039833e-66,0.8598344673861325,0.8368632163235411,2.5
19,1,[17.  24.6 32.2 39.8 47.4 55. ],[ 3.   9.5 16. ],1.8698379466865176e-43,0.6323510294070056,0.7290442492515201,1.0
19,3,[17.  24.6 32.2 39.8 47.4 55. ],[ 3. 10. 16.],7.879572885703894e-11,0.6326309402278958,0.7842221815522126,1.0
19,6,[17.  24.6 32.2 39.8 47.4 55. ],[ 3.    8.07 16.  ],1.4365444039627051e-49,0.6309353563808396,0.6800223562927451,1.0
19,7,[17.  24.6 32.2 39.8 47.4 55. ],[ 3.    7.33 11.67 16.  ],3.623872908960422e-33,0.6911227861793761,0.6081377486666082,1.0
19,9,[17.  24.6 32.2 39.8 47.4 55. ],[ 3. 10. 11. 16.],7.779012121770478e-21,0.6946464706193473,0.7680767107524027,1.0
19,12,[17.  24.6 32.2 39.8 47.4 55. ],[ 3.    5.64  9.3  16.  ],9.733136181668444e-48,0.6844774774894145,0.5930080296197424,1.0
19,13,[17.  24.6 32.2 39.8 47.4 55. ],[ 3.    6.25  9.5  12.75 16.  ],3.1585091943184744e-27,0.7937631211237388,0.5637968525513639,1.0
19,15,[17.  24.6 32.2 39.8 47.4 55. ],[ 3.  9. 10. 11. 16.],0.02180635021519553,0.8018691711838868,0.6837295809879367,1.0
19,18,[17.  24.6 32.2 39.8 47.4 55. ],[ 3.    4.88  8.51 10.53 16.  ],4.757740647413927e-18,0.7703154393771671,0.5480619054394142,1.0
19,19,[17.  24.6 32.2 39.8 47.4 55. ],[ 3.   5.6  8.2 10.8 13.4 16. ],2.0268235422488785e-06,0.675700798650282,0.5277309754066342,1.0
